OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
RESOURCESAT-2A,2016-074A,2026-09-12T23:28:49.602432,14.21611834,.00023521,98.7469,328.7353,156.9739,203.1544,0,U,41877,999,50677,.35184619E-4,.33E-6,0
CARTOSAT-2D,2017-008A,2026-09-12T22:53:54.621024,15.19310329,.00034333,97.4025,313.5767,306.5855,53.5063,0,U,41948,999,53090,.11050319E-3,.2265E-4,0
SENTINEL-2B,2017-013A,2026-09-12T23:16:23.843424,14.30813191,.00012244,98.5728,329.4783,86.6127,273.5196,0,U,42063,999,49719,.1391088E-4,-.7E-7,0
CARTOSAT-2E,2017-036C,2026-09-12T21:45:30.273696,15.19259069,.00036347,97.4189,314.2188,27.3603,332.7823,0,U,42767,999,51146,.80710585E-4,.1634E-4,0
FORMOSAT-5,2017-049A,2026-09-12T21:53:13.807968,14.50907325,.00117291,98.2190,329.2440,167.5583,192.5904,0,U,42920,999,47939,.31828259E-4,.82E-6,0
SENTINEL-5P,2017-064A,2026-09-12T16:11:26.518272,14.19531183,.00011776,98.7975,197.2005,76.7884,283.3424,0,U,42969,999,46197,.32191132E-4,.24E-6,0
SKYSAT-C11,2017-068A,2026-09-12T22:15:35.027136,15.62549417,.00009771,97.4456,48.9415,65.3705,294.7655,0,U,42987,999,49692,.33239602E-3,.2955E-3,0
SKYSAT-C10,2017-068B,2026-09-12T22:49:10.746048,15.36032985,.00014025,97.4628,33.8077,85.9405,274.1999,0,U,42988,999,49582,.21855391E-3,.7586E-4,0
SKYSAT-C9,2017-068C,2026-09-12T22:38:45.022560,15.43487756,.00080962,97.4547,35.6090,170.6232,189.5169,0,U,42989,999,49628,.25479401E-3,.1134E-3,0
SKYSAT-C8,2017-068D,2026-09-12T21:58:11.366976,15.38507551,.00015559,97.4645,33.9149,90.8358,269.3065,0,U,42990,999,49579,.22415325E-3,.8434E-4,0
SKYSAT-C7,2017-068E,2026-09-12T21:53:23.899488,15.38454746,.00063899,97.4658,34.9074,142.2032,217.9662,0,U,42991,999,49585,.23029479E-3,.8657E-4,0
SKYSAT-C6,2017-068F,2026-09-12T20:59:09.068064,15.34055910,.00016205,97.4698,34.4055,143.6545,216.4808,0,U,42992,999,49576,.21306668E-3,.694E-4,0
CARTOSAT-2F,2018-004A,2026-09-12T22:34:00.672384,15.19261740,.00009681,97.4705,314.6738,25.2025,334.9257,0,U,43111,999,48065,.51647061E-4,.1021E-4,0
GAOFEN-1 02,2018-031A,2026-09-12T22:13:36.260832,14.76476970,.00042404,98.0450,318.1678,88.6555,271.5140,0,U,43259,999,45564,.13202479E-4,.4E-6,0
GAOFEN-1 03,2018-031B,2026-09-12T23:19:30.588384,14.76445587,.00037241,98.0434,318.0615,129.5640,230.5899,0,U,43260,999,45564,.69604173E-4,.433E-5,0
GAOFEN-1 04,2018-031D,2026-09-12T22:44:31.694784,14.76475446,.00022002,98.0452,318.2400,105.6619,254.4834,0,U,43262,999,45563,.95961506E-4,.616E-5,0
SENTINEL-3B,2018-039A,2026-09-12T22:07:53.562144,14.26736895,.00014138,98.6284,322.1827,78.7525,281.3814,0,U,43437,999,43663,.43770991E-4,.62E-6,0
GAOFEN-5 01,2018-043A,2026-09-12T22:51:10.859328,14.60655891,.00023129,98.4683,229.4308,135.4797,224.6589,0,U,43461,999,44450,.5301323E-4,.209E-5,0
GAOFEN-6,2018-048A,2026-09-12T23:19:34.673376,14.76438106,.00093352,98.0892,318.7909,246.3245,113.6985,0,U,43484,999,44634,.52094015E-4,.31E-5,0
GAOFEN-11 01,2018-063A,2026-09-12T22:17:44.692800,15.57664162,.00040079,97.1202,322.6628,32.1234,328.0265,0,U,43585,999,45399,.17076217E-3,.12536E-3,0
ICESAT-2,2018-070A,2026-09-12T23:05:56.833440,15.28239200,.00055819,92.0032,314.6887,112.8790,247.3049,0,U,43613,999,44586,.24388905E-3,.6711E-4,0
HYSIS,2018-096A,2026-09-12T23:31:13.169856,14.78648879,.00011441,97.9769,322.0015,108.6133,251.5203,0,U,43719,999,42039,.73383904E-4,.486E-5,0
KAZSTSAT,2018-099AB,2026-09-12T14:54:55.090080,15.00020132,.00132082,97.4213,283.5762,113.8480,246.4130,0,U,43783,999,42441,.90062881E-4,.1066E-4,0
SAUDISAT 5A,2018-102A,2026-09-12T22:58:48.242784,15.28810425,.000959,97.2977,315.8502,172.4894,187.6491,0,U,43831,999,42908,.14347814E-3,.3948E-4,0
SAUDISAT 5B,2018-102C,2026-09-12T23:06:23.958720,15.29027922,.00102304,97.3090,319.0841,175.3260,184.8078,0,U,43833,999,42920,.1362837E-3,.3772E-4,0
